#Galaxy Name,Distance,Stellar Mass,Distance (alt),Stellar Mass (alt),Vdisp (km s),Vdisp low,Vdisp high,Ref?
SDSS,,,,,,,,
Carina,105,3.8E+05,,,,,,
Draco I,76,2.9E+05,,,9.1,7.9,10.3,
Fornax,147,2.0E+07,,,,,,
Leo I,254,5.5E+06,,,,,,
Leo II,233,7.4E+05,,,,,,
LMC,51,1.5E+09,,,,,,
Ursa Minor,76,2.9E+05,,,9.5,8.3,10.7,
SMC,64,4.60E+08,,,,,,
Sculptor,86,2.3E+06,,,,,,
Sextans,86,4.4E+05,,,,,,
Sagittarius I ,26,2.1E+07,,,11.4,10.7,12.1,
DIrrs,,,,,,,,
Leo A,798,,,,9.0,8.4,9.8,
Aquarius,1072,,,,7.8,6.7,9.6,
SagDIG,1067,,,,9.4,8.3,10.9,
SDSS DR9,,,,,,,,
Bootes I,66,2.9E+04,,,2.4,1.9,3.3,
Bootes II,42,1.0E+03,,,10.5,3.1,17.9,
Canes Venatici I,218,2.3E+05,,,7.6,7.2,8.0,
Canes Venatici II,160,7.9E+03,,,4.6,3.6,5.6,
Coma,44,3.7E+03,,,4.6,5.4,3.8,
Hercules,132,3.7E+04,,,3.7,2.8,4.6,
Leo IV,154,1.9E+04,,,3.3,1.6,5.0,
Leo V,178,1.1E+04,,,3.7,2.3,6.0,
Leo T,417,1.4E+05,,,7.5,5.9,9.1,
Pegasus III*,210,7.46E+03,,,,,,(4)
Pisces I (LGS 3),80,1E+04,,,7.9,5.0,13.2,(5)
Pisces II,182,8.6E+03,,,,,,
Segue I,23,3.4E+02,,,3.9,3.1,4.8,
Segue II,35,8.6E+02,,,3.4,2.2,5.9,
Ursa Major I,97,1.4E+04,,,7.6,6.6,8.6,
Ursa Major II,32,4.1E+03,,,6.7,5.3,8.1,
Willman I,38,1.0E+03,,,4.3,3.0,6.6,
DES,,,,,,,,
Cetus II,30,1E+02,,,,,,(1)
Columba I,182,6.2E+03,,,,,,(1)
Eridanus II,366,8.3E+04,,,6.9,6.0,8.1,(3)
Eridanus III,95,9.0E+02,,,,,,(3)
Grus I,120,1.96E+03,,,2.9,0.8,9.8,(4)%
Grus II,53,3.4E+03,,,,,,(1)
Horologium I,79,1.96E+03,87,,4.9,4,7.7,(3)(4)
Horologium II,78,2.47E+03,,,,,,(4)
Indus I &,69,8.0E+02,,,,,,(3)
Indus II,214,4.9E+03,,,,,,(1)
Phoenix II,95,2.8E+03,,,,,,(3)
Pictoris,126,2.8E+03,114,1.5E+03,,,,(3)(4)
Reticulum II*,32,2.6E+03,,,3.22,2.73,4.86,(3)
Reticulum III,92,2E+03,,,,,,(1)
Tucana II*,58,4.9E+03,,,8.6,5.9,13,(4)
Tucana III,25,8.0E+02,,,0.1,0.0,0.8,(1)
Tucana IV,48,2.2E+03,,,,,,(1)
Tucana V,55,5E+02,,,,,,(1)
Others,,,,,,,,
Aquarius II,108,,,,,,,
Crater II,118,2.25E+03,,,2.7,2.4,3,(4)
Draco II,20,2.47E+03,,,2.9,5,0.8,(4)
Sagittarius II,67,2.47E+03,,,,,,(4)
Triangulum II,30,,,,,,,
Hydra II,134,7.1,,,,,,(4)
Virgo I,91,,,,,,,
Cetus III,251,,,,,,,
Pictoris II,45,1.6E+03,,,,,,(2)
Bootes III (huh?),47,1.7E+04,,,14.0,11.8,17.2,